MAG	KO	gene	protein_id	score	score_type	threshold
coasm_bin.481	K00652	bioF	coasm_bin.481|EGDGHF_01159	458.0	domain	453.00
coasm_bin.481	K00652	bioF	coasm_bin.481|EGDGHF_04252	496.2	domain	453.00
coasm_bin.481	K00688	glgP	coasm_bin.481|EGDGHF_01128	366.0	domain	72.63
coasm_bin.481	K00700	glgB	coasm_bin.481|EGDGHF_01518	1088.6	domain	287.03
coasm_bin.481	K00700	glgB	coasm_bin.481|EGDGHF_02312	430.3	domain	287.03
coasm_bin.481	K00703	glgA	coasm_bin.481|EGDGHF_03450	617.6	domain	122.93
coasm_bin.481	K00705	malQ	coasm_bin.481|EGDGHF_03449	490.7	full	82.80
coasm_bin.481	K00925	ackA	coasm_bin.481|EGDGHF_04848	557.1	full	173.57
coasm_bin.481	K00937	ppk1	coasm_bin.481|EGDGHF_01568	1023.4	full	310.13
coasm_bin.481	K00937	ppk1	coasm_bin.481|EGDGHF_02967	997.7	full	310.13
coasm_bin.481	K00975	glgC	coasm_bin.481|EGDGHF_01255	531.2	full	189.93
coasm_bin.481	K01006	ppdk	coasm_bin.481|EGDGHF_00385	1411.1	domain	353.27
coasm_bin.481	K01176	amyA	coasm_bin.481|EGDGHF_01983	302.9	domain	234.97
coasm_bin.481	K01176	amyA	coasm_bin.481|EGDGHF_03272	262.9	domain	234.97
coasm_bin.481	K01179	celA	coasm_bin.481|EGDGHF_03164	82.7	full	20.87
coasm_bin.481	K01214	glgX	coasm_bin.481|EGDGHF_04541	1019.6	full	974.53
coasm_bin.481	K01596	pckA(GTP)	coasm_bin.481|EGDGHF_00375	1035.1	full	129.60
coasm_bin.481	K01610	pckA(ATP)	coasm_bin.481|EGDGHF_04538	864.9	full	90.40
coasm_bin.481	K01848	mcm-N	coasm_bin.481|EGDGHF_01469	955.7	domain	815.40
coasm_bin.481	K01895	acs	coasm_bin.481|EGDGHF_01810	960.5	domain	758.93
coasm_bin.481	K01908	prpE	coasm_bin.481|EGDGHF_04828	1071.1	domain	759.70
coasm_bin.481	K02036	pstB	coasm_bin.481|EGDGHF_00938	387.6	domain	268.67
coasm_bin.481	K02036	pstB	coasm_bin.481|EGDGHF_03000	458.8	domain	268.67
coasm_bin.481	K02037	pstC	coasm_bin.481|EGDGHF_00940	293.0	domain	261.23
coasm_bin.481	K02037	pstC	coasm_bin.481|EGDGHF_03004	354.2	domain	261.23
coasm_bin.481	K02038	pstA	coasm_bin.481|EGDGHF_03001	319.5	domain	248.13
coasm_bin.481	K02040	pstS	coasm_bin.481|EGDGHF_00941	180.6	domain	59.60
coasm_bin.481	K02040	pstS	coasm_bin.481|EGDGHF_03002	91.8	domain	59.60
coasm_bin.481	K02040	pstS	coasm_bin.481|EGDGHF_03003	70.8	domain	59.60
coasm_bin.481	K02040	pstS	coasm_bin.481|EGDGHF_03005	251.8	domain	59.60
