reference,querry,ani,alignment_coverage,primary_cluster
coasm_bin.551.fa,CAN_1_bin.133.fa,0.9984999999999999,91.67,252
coasm_bin.551.fa,CAN_4_bin.98.fa,0.9990000000000001,63.52,252
coasm_bin.551.fa,coasm_bin.551.fa,1.0,100.0,252
CAN_1_bin.133.fa,CAN_4_bin.98.fa,0.9969,57.26,252
CAN_1_bin.133.fa,coasm_bin.551.fa,0.9984999999999999,89.09,252
CAN_4_bin.98.fa,coasm_bin.551.fa,0.9990000000000001,95.13,252
CAN_1_bin.135.fa,CAN_1_bin.135.fa,1.0,100.0,200
CAN_2_bin.104.fa,CAN_1_bin.135.fa,0.9994,82.07,200
CAN_2_bin.104.fa,CAN_2_bin.104.fa,1.0,100.0,200
CAN_3_bin.227.fa,CAN_1_bin.135.fa,0.9994,82.51,200
CAN_3_bin.227.fa,CAN_2_bin.104.fa,0.9998,99.88,200
CAN_3_bin.227.fa,CAN_3_bin.227.fa,1.0,100.0,200
coasm_bin.1.fa,CAN_1_bin.135.fa,0.9994,82.53,200
coasm_bin.1.fa,CAN_2_bin.104.fa,0.9998,99.96,200
coasm_bin.1.fa,CAN_3_bin.227.fa,1.0,100.0,200
coasm_bin.1.fa,coasm_bin.1.fa,1.0,100.0,200
CAN_1_bin.135.fa,CAN_2_bin.104.fa,0.9994,99.09,200
CAN_1_bin.135.fa,CAN_3_bin.227.fa,0.9994,99.38,200
CAN_2_bin.104.fa,CAN_3_bin.227.fa,0.9998,99.63,200
CAN_1_bin.135.fa,coasm_bin.1.fa,0.9994,99.4,200
CAN_2_bin.104.fa,coasm_bin.1.fa,0.9998,99.71,200
CAN_3_bin.227.fa,coasm_bin.1.fa,1.0,100.0,200
CAN_1_bin.148.fa,CAN_1_bin.148.fa,1.0,100.0,172
CAN_1_bin.210.fa,CAN_1_bin.148.fa,0.9072,63.17,172
CAN_1_bin.210.fa,CAN_1_bin.210.fa,1.0,100.0,172
CAN_2_bin.43.fa,CAN_1_bin.148.fa,0.9107,61.57,172
CAN_2_bin.43.fa,CAN_1_bin.210.fa,0.9945,86.32,172
CAN_2_bin.43.fa,CAN_2_bin.43.fa,1.0,100.0,172
CAN_3_bin.81.fa,CAN_1_bin.148.fa,0.9083,62.23,172
CAN_3_bin.81.fa,CAN_1_bin.210.fa,0.9932,92.76,172
CAN_3_bin.81.fa,CAN_2_bin.43.fa,0.9959,93.2,172
CAN_3_bin.81.fa,CAN_3_bin.81.fa,1.0,100.0,172
CAN_4_bin.51.fa,CAN_1_bin.148.fa,0.9096,57.12,172
CAN_4_bin.51.fa,CAN_1_bin.210.fa,0.9489,76.8,172
CAN_4_bin.51.fa,CAN_2_bin.43.fa,0.9477,79.24,172
CAN_4_bin.51.fa,CAN_3_bin.81.fa,0.9477,76.14,172
CAN_4_bin.51.fa,CAN_4_bin.51.fa,1.0,100.0,172
CAN_5_bin.25.fa,CAN_1_bin.148.fa,0.9103,57.8,172
CAN_5_bin.25.fa,CAN_1_bin.210.fa,0.987,84.33,172
CAN_5_bin.25.fa,CAN_2_bin.43.fa,0.9826999999999999,83.85,172
CAN_5_bin.25.fa,CAN_3_bin.81.fa,0.9836,81.65,172
CAN_5_bin.25.fa,CAN_4_bin.51.fa,0.9509000000000001,61.47,172
CAN_5_bin.25.fa,CAN_5_bin.25.fa,1.0,100.0,172
CAN_5_bin.58.fa,CAN_1_bin.148.fa,0.9086,55.65,172
CAN_5_bin.58.fa,CAN_1_bin.210.fa,0.9453,76.93,172
CAN_5_bin.58.fa,CAN_2_bin.43.fa,0.9451999999999999,77.5,172
CAN_5_bin.58.fa,CAN_3_bin.81.fa,0.9453,76.98,172
CAN_5_bin.58.fa,CAN_4_bin.51.fa,0.9962000000000001,80.24,172
CAN_5_bin.58.fa,CAN_5_bin.25.fa,0.9451999999999999,70.38,172
CAN_5_bin.58.fa,CAN_5_bin.58.fa,1.0,100.0,172
coasm_bin.277.fa,CAN_1_bin.148.fa,0.9076000000000001,60.03,172
coasm_bin.277.fa,CAN_1_bin.210.fa,0.9462999999999999,81.88,172
coasm_bin.277.fa,CAN_2_bin.43.fa,0.945,83.78,172
coasm_bin.277.fa,CAN_3_bin.81.fa,0.9462999999999999,80.68,172
coasm_bin.277.fa,CAN_4_bin.51.fa,0.9986,88.59,172
coasm_bin.277.fa,CAN_5_bin.25.fa,0.9505,79.08,172
coasm_bin.277.fa,CAN_5_bin.58.fa,0.9941,62.93,172
coasm_bin.277.fa,coasm_bin.277.fa,1.0,100.0,172
coasm_bin.292.fa,CAN_1_bin.148.fa,0.9942,85.01,172
coasm_bin.292.fa,CAN_1_bin.210.fa,0.9007,56.38,172
coasm_bin.292.fa,CAN_2_bin.43.fa,0.9081999999999999,60.47,172
coasm_bin.292.fa,CAN_3_bin.81.fa,0.902,56.45,172
coasm_bin.292.fa,CAN_4_bin.51.fa,0.9027,43.98,172
coasm_bin.292.fa,CAN_5_bin.25.fa,0.9037000000000001,55.42,172
coasm_bin.292.fa,CAN_5_bin.58.fa,0.9027,31.16,172
coasm_bin.292.fa,coasm_bin.277.fa,0.9013,44.56,172
coasm_bin.292.fa,coasm_bin.292.fa,1.0,100.0,172
coasm_bin.377.fa,CAN_1_bin.148.fa,0.9064,55.77,172
coasm_bin.377.fa,CAN_1_bin.210.fa,0.9926,86.05,172
coasm_bin.377.fa,CAN_2_bin.43.fa,0.9926,83.07,172
