parameter,ASV,rho,p_value,q_value,n,abs_rho
Ax_time [minutes],Arenimonas.3,-0.7711648581075355,5.778475966038399e-16,1.2756445764772282e-13,75,0.7711648581075355
Ax_time [minutes],Comamonadaceae.57,-0.7711648581075355,5.778475966038399e-16,1.2756445764772282e-13,75,0.7711648581075355
A_time [minutes],Arenimonas.3,0.7711648581075355,5.778475966038399e-16,1.2756445764772282e-13,75,0.7711648581075355
A_time [minutes],Comamonadaceae.57,0.7711648581075355,5.778475966038399e-16,1.2756445764772282e-13,75,0.7711648581075355
Ax_time [minutes],Micropepsaceae.1,-0.7696069493032778,7.182198909580147e-16,1.5655838491014985e-13,75,0.7696069493032778
A_time [minutes],Micropepsaceae.1,0.7696069493032778,7.182198909580147e-16,1.5655838491014985e-13,75,0.7696069493032778
Ax_time [minutes],Defluviicoccus.5,-0.7683628484043212,8.533929911539573e-16,1.837127185118323e-13,75,0.7683628484043212
A_time [minutes],Defluviicoccus.5,0.7683628484043212,8.533929911539573e-16,1.837127185118323e-13,75,0.7683628484043212
Ax_time [minutes],Paracoccus.7,-0.7680490404990202,8.911811690410524e-16,1.8719665538056874e-13,75,0.7680490404990202
Ax_time [minutes],Microscillaceae.11,-0.7680490404990202,8.911811690410524e-16,1.8719665538056874e-13,75,0.7680490404990202
A_time [minutes],Paracoccus.7,0.7680490404990202,8.911811690410524e-16,1.8719665538056874e-13,75,0.7680490404990202
A_time [minutes],Microscillaceae.11,0.7680490404990202,8.911811690410524e-16,1.8719665538056874e-13,75,0.7680490404990202
Ax_time [minutes],Niabella.2,-0.7627915500416702,1.8234854849734568e-15,3.784442121179345e-13,75,0.7627915500416702
A_time [minutes],Niabella.2,0.7627915500416702,1.8234854849734568e-15,3.784442121179345e-13,75,0.7627915500416702
Ax_time [minutes],Planctomycetota.13,-0.7623287441981522,1.94039203593763e-15,3.9794110990273553e-13,75,0.7623287441981522
A_time [minutes],Planctomycetota.13,0.7623287441981522,1.94039203593763e-15,3.9794110990273553e-13,75,0.7623287441981522
Ax_time [minutes],Pseudoxanthomonas.3,-0.7613942486285895,2.1988519466062426e-15,4.45672570862139e-13,75,0.7613942486285895
A_time [minutes],Pseudoxanthomonas.3,0.7613942486285895,2.1988519466062426e-15,4.45672570862139e-13,75,0.7613942486285895
Ax_time [minutes],Stappia.1,-0.760259496477732,2.5574556046768545e-15,5.015819508477823e-13,75,0.760259496477732
Ax_time [minutes],Kapabacteriales.8,-0.760259496477732,2.5574556046768545e-15,5.015819508477823e-13,75,0.760259496477732
A_time [minutes],Stappia.1,0.760259496477732,2.5574556046768545e-15,5.015819508477823e-13,75,0.760259496477732
A_time [minutes],Kapabacteriales.8,0.760259496477732,2.5574556046768545e-15,5.015819508477823e-13,75,0.760259496477732
Ax_time [minutes],Ca_Competibacter.49,0.7602475117148575,2.561528183157548e-15,5.015819508477823e-13,75,0.7602475117148575
A_time [minutes],Ca_Competibacter.49,-0.7602475117148575,2.561528183157548e-15,5.015819508477823e-13,75,0.7602475117148575
Ax_time [minutes],Desulfobacterium_catecholicum_group.1,-0.759563648857361,2.8045536755504308e-15,5.384816218222909e-13,75,0.759563648857361
A_time [minutes],Desulfobacterium_catecholicum_group.1,0.759563648857361,2.8045536755504308e-15,5.384816218222909e-13,75,0.759563648857361
Ax_time [minutes],Leadbetterella.18,0.7595432938680662,2.8121173014176593e-15,5.384816218222909e-13,75,0.7595432938680662
A_time [minutes],Leadbetterella.18,-0.7595432938680662,2.8121173014176593e-15,5.384816218222909e-13,75,0.7595432938680662
Ax_time [minutes],Ca_Competibacter.26,0.7593485585921774,2.8854784783342713e-15,5.464907026261612e-13,75,0.7593485585921774
A_time [minutes],Ca_Competibacter.26,-0.7593485585921774,2.8854784783342713e-15,5.464907026261612e-13,75,0.7593485585921774
Ax_time [minutes],Bryobacter.14,-0.75725025703343,3.8024692412576926e-15,7.123771969337857e-13,75,0.75725025703343
A_time [minutes],Bryobacter.14,0.75725025703343,3.8024692412576926e-15,7.123771969337857e-13,75,0.75725025703343
Ax_time [minutes],Micavibrionales.1,-0.7571436788692167,3.855855828716056e-15,7.14652979505186e-13,75,0.7571436788692167
A_time [minutes],Micavibrionales.1,0.7571436788692167,3.855855828716056e-15,7.14652979505186e-13,75,0.7571436788692167
Ax_time [minutes],Ca_Leptovillus.9,0.7561892509761661,4.367240753346811e-15,8.008687686256462e-13,75,0.7561892509761661
A_time [minutes],Ca_Leptovillus.9,-0.7561892509761661,4.367240753346811e-15,8.008687686256462e-13,75,0.7561892509761661
Ax_time [minutes],Rhodobacteraceae.23,-0.7558826046364487,4.544979377556921e-15,8.247352892499754e-13,75,0.7558826046364487
A_time [minutes],Rhodobacteraceae.23,0.7558826046364487,4.544979377556921e-15,8.247352892499754e-13,75,0.7558826046364487
Ax_time [minutes],Pseudoxanthomonas.21,-0.755585770064959,4.723654583117961e-15,8.482753585299763e-13,75,0.755585770064959
A_time [minutes],Pseudoxanthomonas.21,0.755585770064959,4.723654583117961e-15,8.482753585299763e-13,75,0.755585770064959
Ax_time [minutes],Flavobacteriales.7,0.7548364973966022,5.205272476485853e-15,9.236564520790402e-13,75,0.7548364973966022
A_time [minutes],Flavobacteriales.7,-0.7548364973966022,5.205272476485853e-15,9.236564520790402e-13,75,0.7548364973966022
Ax_time [minutes],Fimbriiglobus.2,-0.7547703144077385,5.250016476516083e-15,9.236564520790402e-13,75,0.7547703144077385
A_time [minutes],Fimbriiglobus.2,0.7547703144077385,5.250016476516083e-15,9.236564520790402e-13,75,0.7547703144077385
Ax_time [minutes],Bdellovibrio.18,-0.7543078492101228,5.573172736816395e-15,9.706562506799973e-13,75,0.7543078492101228
A_time [minutes],Bdellovibrio.18,0.7543078492101228,5.573172736816395e-15,9.706562506799973e-13,75,0.7543078492101228
Ax_time [minutes],Verrucomicrobiaceae.6,-0.7540278612607014,5.778040275096558e-15,9.963238701222467e-13,75,0.7540278612607014
A_time [minutes],Verrucomicrobiaceae.6,0.7540278612607014,5.778040275096558e-15,9.963238701222467e-13,75,0.7540278612607014
Ax_time [minutes],Bacteria.166,-0.75333433293086,6.317207718801566e-15,1.0785620804233669e-12,75,0.75333433293086
A_time [minutes],Bacteria.166,0.75333433293086,6.317207718801566e-15,1.0785620804233669e-12,75,0.75333433293086
Ax_time [minutes],Arenimonas.5,-0.7524699524564437,7.057261346572245e-15,1.1931591268821829e-12,75,0.7524699524564437
A_time [minutes],Arenimonas.5,0.7524699524564437,7.057261346572245e-15,1.1931591268821829e-12,75,0.7524699524564437
Ax_time [minutes],Rhizobiales.10,-0.7519457160706339,7.546039646051342e-15,1.2634695076932052e-12,75,0.7519457160706339
A_time [minutes],Rhizobiales.10,0.7519457160706339,7.546039646051342e-15,1.2634695076932052e-12,75,0.7519457160706339
