parameter,ASV,rho_interp,p_interp,n_interp,rho_meas,p_meas,n_meas,q_interp,q_meas,confirmed,rho_partial,p_partial,n_partial,q_partial,time_robust
Ax_time [minutes],midas_g_1792.1,-0.7727227669117931,4.641130306410934e-16,75,-0.7727227669117931,4.641130306410934e-16,75,1.1879083522361316e-13,9.514620469992502e-14,True,-0.37560920132918496,0.0008978560298427743,75,0.00552742618371958,True
Ax_time [minutes],Arenimonas.3,-0.7711648581075355,5.7784759660384e-16,75,-0.7711648581075355,5.7784759660384e-16,75,1.4398354849151972e-13,1.1544438035080281e-13,True,-0.35210831576667684,0.0019483812333275833,75,0.009766694731947427,True
Ax_time [minutes],Comamonadaceae.54,-0.7711648581075355,5.7784759660384e-16,75,-0.7711648581075355,5.7784759660384e-16,75,1.4398354849151972e-13,1.1544438035080281e-13,True,-0.3773538969479394,0.0008456908453330229,75,0.005239028192786337,True
Ax_time [minutes],midas_g_4351.1,-0.7696069493032778,7.182198909580148e-16,75,-0.7696069493032778,7.182198909580148e-16,75,1.7662106795617845e-13,1.416835540867238e-13,True,-0.4134418251100054,0.00022711232115321103,75,0.0019741782091535045,True
Ax_time [minutes],Defluviicoccus.5,-0.7683628484043212,8.533929911539574e-16,75,-0.7683628484043212,8.533929911539574e-16,75,2.071542664010816e-13,1.6625791652506225e-13,True,-0.39199590680482943,0.0005050335313175716,75,0.003553271631055772,True
Ax_time [minutes],Paracoccus.7,-0.7680490404990202,8.911811690410524e-16,75,-0.7680490404990202,8.911811690410524e-16,75,2.108848521079849e-13,1.6941083968570697e-13,True,-0.3659220319019415,0.0012443872974209882,75,0.0070867593833698565,True
Ax_time [minutes],midas_g_37691.1,-0.7680490404990202,8.911811690410524e-16,75,-0.7680490404990202,8.911811690410524e-16,75,2.108848521079849e-13,1.6941083968570697e-13,True,-0.35527053113089135,0.001761387758841002,75,0.009084387455777608,True
Ax_time [minutes],Niabella.2,-0.7627915500416702,1.8234854849734568e-15,75,-0.7627915500416702,1.8234854849734568e-15,75,4.261406296405362e-13,3.424876989322005e-13,True,-0.3224631220518257,0.004779995056680716,75,0.018609862177195673,True
Ax_time [minutes],midas_g_30513.1,-0.7623287441981522,1.9403920359376302e-15,75,-0.7623287441981522,1.9403920359376302e-15,75,4.4789724142425354e-13,3.60132169226152e-13,True,-0.386778202489738,0.000608542810156145,75,0.004077650802746958,True
Ax_time [minutes],Pseudoxanthomonas.3,-0.7613942486285895,2.1988519466062426e-15,75,-0.7613942486285895,2.1988519466062426e-15,75,5.014048757033934e-13,4.03328597410827e-13,True,-0.39329073462070385,0.0004819699087088396,75,0.003440147536798602,True
Ax_time [minutes],Stappia.1,-0.760259496477732,2.5574556046768545e-15,75,-0.760259496477732,2.5574556046768545e-15,75,5.636110987795481e-13,4.5392594911254027e-13,True,-0.3779372343031361,0.0008288733217380555,75,0.005167343176658131,True
Ax_time [minutes],midas_g_9818.1,-0.760259496477732,2.5574556046768545e-15,75,-0.760259496477732,2.5574556046768545e-15,75,5.636110987795481e-13,4.5392594911254027e-13,True,-0.3171963425981139,0.005556678046715948,75,0.020654067456661162,True
Ax_time [minutes],Ca_Competibacter.49,0.7602475117148575,2.561528183157548e-15,75,0.7602475117148575,2.561528183157548e-15,75,5.636110987795481e-13,4.5392594911254027e-13,True,0.3484329479804332,0.002188004484916678,75,0.010513094720209403,True
